lon lat cmedv crim zn indus chas nox rm age dis rad tax ptratio b lstat
-70.9550 42.2550 24.0  0.00632  18.0  2.31 0 0.5380 6.575  65.2  4.0900  1 296 15.3 396.90  4.98
-70.9500 42.2875 21.6  0.02731   0.0  7.07 0 0.4690 6.421  78.9  4.9671  2 242 17.8 396.90  9.14
-70.9360 42.2830 34.7  0.02729   0.0  7.07 0 0.4690 7.185  61.1  4.9671  2 242 17.8 392.83  4.03
-70.9280 42.2930 33.4  0.03237   0.0  2.18 0 0.4580 6.998  45.8  6.0622  3 222 18.7 394.63  2.94
-70.9220 42.2980 36.2  0.06905   0.0  2.18 0 0.4580 7.147  54.2  6.0622  3 222 18.7 396.90  5.33
-70.9165 42.3040 28.7  0.02985   0.0  2.18 0 0.4580 6.430  58.7  6.0622  3 222 18.7 394.12  5.21
-70.9360 42.2970 22.9  0.08829  12.5  7.87 0 0.5240 6.012  66.6  5.5605  5 311 15.2 395.60 12.43
-70.9375 42.3100 22.1  0.14455  12.5  7.87 0 0.5240 6.172  96.1  5.9505  5 311 15.2 396.90 19.15
-70.9330 42.3120 16.5  0.21124  12.5  7.87 0 0.5240 5.631 100.0  6.0821  5 311 15.2 386.63 29.93
-70.9290 42.3160 18.9  0.17004  12.5  7.87 0 0.5240 6.004  85.9  6.5921  5 311 15.2 386.71 17.10
-70.9350 42.3160 15.0  0.22489  12.5  7.87 0 0.5240 6.377  94.3  6.3467  5 311 15.2 392.52 20.45
-70.9440 42.3170 18.9  0.11747  12.5  7.87 0 0.5240 6.009  82.9  6.2267  5 311 15.2 396.90 13.27
-70.9510 42.3060 21.7  0.09378  12.5  7.87 0 0.5240 5.889  39.0  5.4509  5 311 15.2 390.50 15.71
-70.9645 42.2920 20.4  0.62976   0.0  8.14 0 0.5380 5.949  61.8  4.7075  4 307 21.0 396.90  8.26
-70.9720 42.2870 18.2  0.63796   0.0  8.14 0 0.5380 6.096  84.5  4.4619  4 307 21.0 380.02 10.26
-70.9765 42.2940 19.9  0.62739   0.0  8.14 0 0.5380 5.834  56.5  4.4986  4 307 21.0 395.62  8.47
-70.9870 42.2985 23.1  1.05393   0.0  8.14 0 0.5380 5.935  29.3  4.4986  4 307 21.0 386.85  6.58
-70.9780 42.2850 17.5  0.78420   0.0  8.14 0 0.5380 5.990  81.7  4.2579  4 307 21.0 386.75 14.67
-70.9925 42.2825 20.2  0.80271   0.0  8.14 0 0.5380 5.456  36.6  3.7965  4 307 21.0 288.99 11.69
-70.9880 42.2776 18.2  0.72580   0.0  8.14 0 0.5380 5.727  69.5  3.7965  4 307 21.0 390.95 11.28
-70.9835 42.2770 13.6  1.25179   0.0  8.14 0 0.5380 5.570  98.1  3.7979  4 307 21.0 376.57 21.02
-70.9820 42.2810 19.6  0.85204   0.0  8.14 0 0.5380 5.965  89.2  4.0123  4 307 21.0 392.53 13.83
-70.9775 42.2790 15.2  1.23247   0.0  8.14 0 0.5380 6.142  91.7  3.9769  4 307 21.0 396.90 18.72
-70.9730 42.2790 14.5  0.98843   0.0  8.14 0 0.5380 5.813 100.0  4.0952  4 307 21.0 394.54 19.88
-70.9693 42.2816 15.6  0.75026   0.0  8.14 0 0.5380 5.924  94.1  4.3996  4 307 21.0 394.33 16.30
-70.9640 42.2840 13.9  0.84054   0.0  8.14 0 0.5380 5.599  85.7  4.4546  4 307 21.0 303.42 16.51
-70.9597 42.2870 16.6  0.67191   0.0  8.14 0 0.5380 5.813  90.3  4.6820  4 307 21.0 376.88 14.81
-70.9597 42.2825 14.8  0.95577   0.0  8.14 0 0.5380 6.047  88.8  4.4534  4 307 21.0 306.38 17.28
-70.9570 42.2800 18.4  0.77299   0.0  8.14 0 0.5380 6.495  94.4  4.4547  4 307 21.0 387.94 12.80
-70.9510 42.2780 21.0  1.00245   0.0  8.14 0 0.5380 6.674  87.3  4.2390  4 307 21.0 380.23 11.98
-70.9670 42.2790 12.7  1.13081   0.0  8.14 0 0.5380 5.713  94.1  4.2330  4 307 21.0 360.17 22.60
-70.9640 42.2765 14.5  1.35472   0.0  8.14 0 0.5380 6.072 100.0  4.1750  4 307 21.0 376.73 13.04
