"","ninjured","night","weekend","intersection","type1","type2","type3","acc1","acc2","rule"
"81",0,0,1,0,1,0,0,0,1,1
"1848",0,1,0,0,1,0,0,0,1,1
"4008",0,1,1,0,1,0,0,0,1,1
"418",0,1,0,0,1,0,0,1,0,1
"2443",4,1,1,0,1,0,0,1,0,1
"257",0,1,1,1,1,0,0,0,0,1
"464",0,0,0,0,1,0,0,0,1,1
"3440",0,1,1,0,1,0,0,0,1,1
"2403",0,1,1,0,1,0,0,0,1,1
"2503",0,1,1,0,1,0,0,0,1,1
"974",0,0,1,1,1,0,0,0,0,1
"3030",0,0,0,0,1,0,0,0,1,1
"588",0,1,0,1,1,0,0,0,1,1
"3130",0,1,0,0,1,0,0,0,1,1
"2991",2,1,0,0,1,0,0,1,0,0
"1065",0,1,1,0,1,0,0,0,1,1
"545",0,1,0,1,1,0,0,1,0,0
"2178",0,1,0,0,1,0,0,0,0,1
"3893",0,0,1,0,1,0,0,0,0,1
"2596",4,1,1,1,1,0,0,1,0,0
"2249",0,1,0,0,1,0,0,0,1,1
"918",0,1,0,1,1,0,0,0,1,1
"3337",0,1,0,0,1,0,0,0,1,1
"3252",0,1,1,0,1,0,0,0,1,1
"3467",0,1,1,0,1,0,0,0,0,1
"3540",2,1,0,1,1,0,0,1,0,0
"2308",14,1,1,0,1,0,0,1,0,1
"3818",0,1,0,0,1,0,0,0,0,0
"1050",0,1,1,0,1,0,0,0,1,1
"379",4,1,0,0,1,0,0,1,0,0
"1498",0,0,0,1,1,0,0,0,1,1
"1354",0,0,0,0,1,0,0,1,0,0
"3303",0,0,0,0,1,0,0,0,1,1
"906",10,0,1,1,1,0,0,1,0,0
"3276",0,1,1,0,1,0,0,0,1,1
"2762",2,1,1,0,1,0,0,0,0,1
"1160",0,1,0,1,1,0,0,1,0,1
"3018",0,1,0,0,1,0,0,0,1,1
"1259",0,1,1,0,1,0,0,1,0,1
"291",0,1,0,0,1,0,0,0,0,1
"1638",0,1,0,0,1,0,0,0,0,1
"1331",0,0,0,0,1,0,0,1,0,0
"1997",7,0,1,0,1,0,0,1,0,1
