day diag_new  diag_sum   checkout_new checkout_sum death_new death_sum  care  quarantin quaratine_off
5/20     2    2   0   0       0         0        2    3         0 
5/21 1 3 0 0 0 0 3 64 0 
5/22 0 3 0 0 0 0 3 58 0 
5/23 0 3 0 0 0 0 3 61 0 
5/24 0 3 0 0 0 0 3 62 0 
5/25 0 3 0 0 0 0 3 62 0 
5/26 2 5 0 0 0 0 5 61 0 
5/27 0 5 0 0 0 0 5 120 0 
5/28 2 7 0 0 0 0 7 127 0 
5/29 6 13 0 0 0 0 13 129 0 
5/30 2 15 0 0 0 0 15 462 6 
5/31 3 18 0 0 0 0 18 715 8 
6/1 7 25 0 0 1 1 24 789 33 
6/2 5 30 0 0 0 1 29 1364 52 
6/3 0 30 0 0 2 3 27 1667 62 
6/4 6 36 0 0 1 4 32 1820 221 
6/5 6 42 1 1 1 5 36 1866 386 
6/6 22 64 0 1 0 5 58 2361 560 
6/7 23 87 0 1 0 5 81 2508 583 
6/8 8 95 1 2 2 7 86 2892 607 
6/9 13 108 1 3 0 7 98 3439 641 
6/10 14 122 1 4 2 9 109 3805 955 
6/11 4 126 3 7 1 10 109 3680 1249 
6/12 12 138 2 9 3 13 116 4014 1930 
6/13 7 145 1 10 1 14 121 4856 2473 
6/14 5 150 4 14 2 16 120 5216 3122 
6/15 4 154 3 17 3 19 118 5586 3505 
6/16 8 162 2 19 0 19 124 6508 3951 
6/17 3 165 5 24 4 23 118 6729 4492 
6/18 1 166 6 30 1 24 112 5930 5535 
6/19 0 166 6 36 0 24 106 5197 7451 
6/20 3 169 7 43 1 25 101 4035 8812 
6/21 3 172 7 50 2 27 95 3833 9331 
6/22 3 175 4 54 0 27 94 2805 10718 
6/23 4 179 13 67 0 27 85 3103 11210 
6/24 1 180 7 74 2 29 77 2642 11936 
6/25 1 181 7 81 2 31 69 2931 12203 
6/26 1 182 9 90 0 31 61 2467 12958 
6/27 0 182 1 91 1 32 59 2562 13008 
6/28 0 182 2 93 0 32 57 2682 13136 
6/29 0 182 2 95 1 33 54 2638 13354 
6/30 0 182 2 97 0 33 52 2451 13554 
7/1 1 183 5 102 0 33 48 2238 13821 
7/2 1 184 7 109 0 33 42 2067 14062 
7/3 1 185 2 111 0 33 41 1434 14702 
7/4 1 186 5 116 0 33 37 982 15158 
7/5 0 186 1 117 0 33 36 907 15419 
7/6 0 186 1 118 0 33 35 674 15669 
7/7 0 186 1 119 1 34 33 811 15761 
7/8 0 186 1 120 1 35 31 689 15886 
7/9 0 186 5 125 0 35 26 566 16102 
7/10 0 186 3 128 1 36 22 513 16168 
7/11 0 186 2 130 0 36 20 485 16197 
7/12 0 186 0 130 0 36 20 451 16231 
7/13 0 186 1 131 0 36 19 410 16278 
7/14 0 186 1 132 0 36 18 322 16368 
7/15 0 186 1 133 0 36 17 258 16432 
7/16 0 186 1 134 0 36 16 155 16538 
7/17 0 186 1 135 0 36 15 98 16595 
7/18 0 186 1 136 0 36 14 68 16625 
7/19 0 186 0 136 0 36 14 22 16671 
7/20 0 186 0 136 0 36 14 5 16688 
