"YEAR","QUARTER","CODE","CODE0","NAME","SVCODE","SVNAME","SALES_MONTH_AMT","SALES_MONTH_CNT","SALES_PER_WKND","SALES_PER_1114","SALES_PER_1417","SALES_PER_1721","SALES_PER_2124","SALES_PER_WOMAN","SALES_PER_AGE10","SALES_PER_AGE20","SALES_PER_AGE30","N_STORE","REPOP_TOT_AVG","FLPOP_TOT_AVG","IN_MONTH_AVG","CN_TOT_AVG"
2018,2,1000763,"000777","서달로14길","CS100005","분식전문점",1292308,123,0,0,50,50,0,100,0,50,0,1,454,58797.6666666667,2916039,119617928
2018,3,1000790,"000166","난곡로26길","CS100009","커피·음료",507326,13,0,50,0,50,0,50,0,0,0,2,2664,32010,2354526,1099974446
2018,1,1000116,"001158","왕십리로14길","CS100001","한식음식점",1203478869,34774,9,55,9,25,10,31,1,19,26,25,722,27540.3333333333,2806703,379172467
2018,1,1000196,"001354","장한로25길","CS100001","한식음식점",684453783,25480,17,58,10,25,7,39,1,8,16,15,329,38361.3333333333,2850865,254663358
2018,1,1000123,"001349","장터길","CS100001","한식음식점",1134994567,37193,29,17,10,36,25,35,1,18,22,35,1662,35758.3333333333,2378429,879578668
2018,1,1000620,"000063","경인로47길","CS100001","한식음식점",2039783488,89567,24,35,12,35,15,35,4,26,15,43,1607,70267.3333333333,2721948,589918865
2018,1,1000633,"000132","구로중앙로19길","CS100001","한식음식점",2000450674,69710,15,47,10,29,9,31,0,11,20,44,491,29784.6666666667,2639261,177758737
2018,1,1000674,"000910","시흥대로150길","CS100001","한식음식점",812123154,21110,24,35,11,38,11,29,0,9,18,19,2612,26643.3333333333,2612417,1107709794
2018,1,1000118,"001162","왕십리로26길","CS100002","중식음식점",86468725,5018,23,52,19,26,2,31,5,20,23,3,3174,183150.666666667,3102513,1127218823
2018,1,1000719,"001038","양평로19길","CS100002","중식음식점",616290710,21716,21,56,13,27,4,38,1,16,31,7,630,17033,2881022,343059645
2018,1,1000982,"000767","상일로5길","CS100002","중식음식점",104472948,4125,24,34,13,29,22,28,2,15,32,3,1443,14022,2849895,417633806
2018,1,1000782,"000113","관악로28길","CS100002","중식음식점",195778792,7098,36,34,19,45,2,47,1,15,27,1,797,44993.6666666667,4228581,334298329
2018,1,1000009,"000758","삼청로5길","CS100002","중식음식점",7755673,413,36,34,38,28,0,76,0,57,29,2,354,4315,4134384,228719648
2018,1,1000591,"001030","양천로14길","CS100002","중식음식점",5148641,307,8,56,13,30,2,27,1,10,24,1,3681,34527,2366183,1665554022
2018,1,1000810,"000662","복은길","CS100002","중식음식점",105829486,6016,41,36,22,42,1,33,1,25,35,1,3451,52081.6666666667,2411680,1416969662
2018,1,1000951,"000634","백제고분로45길","CS100003","일식음식점",249331566,10535,23,34,13,39,14,42,2,32,21,7,3728,67124.3333333333,3180994,2123322277
2018,1,1000786,"000136","구암길","CS100005","분식전문점",47436720,4562,15,38,25,27,2,59,2,6,21,3,1554,16060.6666666667,2411257,358860149
2018,1,1000433,"001559","통일로87길","CS100005","분식전문점",68665411,7380,43,29,31,37,0,51,2,20,37,2,1429,93630,2662176,646477817
2018,1,1000070,"001283","이태원로27길","CS100005","분식전문점",206056216,4591,53,2,5,18,32,51,2,64,25,4,392,37360.6666666667,7902322,561894152
2018,1,1000127,"000117","광나루로12길","CS100005","분식전문점",83840602,5906,22,26,12,36,21,47,2,39,25,4,181,31025.6666666667,2579221,250763808
2018,1,1000732,"001112","영신로9길","CS100006","패스트푸드점",48477613,5275,27,22,21,37,6,52,4,40,33,2,1326,56829,2504355,603004421
2018,1,1000401,"001068","연서로16길","CS100006","패스트푸드점",230814666,24144,30,11,10,27,22,46,2,29,28,2,3289,91758.3333333333,2722226,1838736957
2018,1,1000488,"000987","신촌로12길","CS100006","패스트푸드점",81310159,7435,35,12,17,52,19,36,4,45,20,2,572,60219.6666666667,2832888,143970622
2018,1,1000015,"001287","이화장길","CS100006","패스트푸드점",920300920,14291,33,35,20,38,5,59,1,33,31,2,1149,37257,3423832,415221144
2018,1,1000526,"000576","목동중앙본로7길","CS100006","패스트푸드점",80073978,3841,37,13,20,50,16,52,1,12,24,2,2021,20825.3333333333,2868283,926980030
2018,1,1000951,"000634","백제고분로45길","CS100009","커피·음료",199024179,22419,34,20,29,35,10,59,1,35,30,21,3728,67124.3333333333,3180994,2123322277
2018,1,1000644,"000502","디지털로32길","CS100009","커피·음료",576277735,78993,21,30,20,26,8,45,1,45,32,8,297,228462,2339253,586842261
2018,1,1000328,"000732","삼양로20길","CS100009","커피·음료",22906018,4134,32,28,27,25,7,62,3,27,27,1,2259,38714.6666666667,2851921,686774481
2018,1,1000690,"000267","당산로38길","CS100001","한식음식점",1575928431,31564,14,43,7,34,16,34,1,18,28,18,1607,74402.3333333333,3591068,996396361
2018,1,1000570,"000092","곰달래로31길","CS100001","한식음식점",122833375,5868,32,31,14,38,16,39,1,12,34,4,8952,174830.666666667,2744806,5489879656
2018,1,1000861,"000603","반포대로9길","CS100001","한식음식점",724153951,26615,8,74,5,17,3,34,3,18,25,16,3124,103852,4976069,1894183573
2018,1,1000008,"000687","북촌로5나길","CS100001","한식음식점",1727271836,39030,37,44,22,29,2,44,1,23,29,15,968,19115,4629872,502605419
2018,1,1000692,"000272","대림로22길","CS100001","한식음식점",43069417,1492,15,32,5,31,25,42,0,12,17,3,1295,26137.3333333333,2310422,516585634
2018,1,1000823,"000979","신원로3길","CS100001","한식음식점",476616865,20021,32,19,9,41,24,34,0,17,24,16,4307,129801.666666667,2573653,1886047271
2018,1,1000950,"000633","백제고분로42길","CS100001","한식음식점",160984612,9007,14,50,18,19,7,34,1,7,21,13,3299,74579,3114731,1781600605
2018,1,1000292,"001305","인촌로24길","CS100003","일식음식점",310041768,10867,14,45,14,38,3,43,3,46,21,6,442,178248.666666667,3575230,255970472
2018,1,1000015,"001287","이화장길","CS100003","일식음식점",641379126,24760,21,46,10,42,2,60,1,38,31,4,1149,37257,3423832,415221144
2018,1,1000505,"001537","토정로37길","CS100003","일식음식점",431952549,6464,19,23,5,39,30,36,0,11,29,5,44,40852.3333333333,4629659,198725892
2018,1,1000337,"000869","솔매로50길","CS100003","일식음식점",266259303,6047,18,38,10,41,12,50,1,14,16,5,2010,161556,2532288,1002775056
2018,1,1000339,"000892","수유로12길","CS100003","일식음식점",12329285,508,20,30,15,35,19,43,1,24,22,3,3229,92574.3333333333,2466827,1485681722
2018,1,1000488,"000987","신촌로12길","CS100003","일식음식점",31490397,2537,51,25,29,45,2,28,3,61,26,1,572,60219.6666666667,2832888,143970622
2018,1,1000325,"000355","도봉로8길","CS100003","일식음식점",43111128,816,34,0,1,13,50,39,1,34,38,1,278,24383.6666666667,2212350,108683997
2018,1,1000337,"000869","솔매로50길","CS100006","패스트푸드점",142949275,12641,30,13,17,39,29,48,3,24,25,5,2010,161556,2532288,1002775056
2018,1,1000495,"001147","와우산로29길","CS100006","패스트푸드점",6532237,1387,28,36,27,30,2,40,3,64,16,2,823,60257.6666666667,3258653,685186078
2018,1,1000072,"001332","장문로45길","CS100006","패스트푸드점",113616277,4903,47,8,12,43,33,43,1,34,30,1,3474,56209.6666666667,2465629,1503980816
2018,1,1000315,"000221","노해로17길","CS100006","패스트푸드점",17891544,959,45,9,18,52,22,44,1,25,29,1,1466,23599.3333333333,2398622,645403467
2018,1,1000043,"001501","청구로1길","CS100009","커피·음료",5725658,889,16,17,42,30,7,67,1,33,25,3,1674,19400.6666666667,2437327,669508970
2018,1,1000290,"001303","인촌로1길","CS100009","커피·음료",228736568,37558,23,35,27,17,4,57,0,24,24,9,878,79226.6666666667,2587213,395716781
2018,1,1000401,"001068","연서로16길","CS100009","커피·음료",12312485,905,32,27,44,18,7,44,3,24,27,3,3289,91758.3333333333,2722226,1838736957
2018,1,1000301,"001411","종암로19길","CS100009","커피·음료",46300381,9420,25,39,30,12,1,63,1,34,24,2,1402,30664.3333333333,2917109,683948234
2018,1,1000619,"000061","경인로35길","CS100009","커피·음료",27804560,3959,32,34,30,29,5,57,2,24,24,6,3474,38585.6666666667,2554572,1497824938
2018,1,1000390,"000021","갈현로1길","CS100009","커피·음료",131743662,13650,32,17,29,29,16,45,2,21,38,3,2242,35158.3333333333,2642585,1054634767
2018,1,1000015,"001287","이화장길","CS100009","커피·음료",803491048,71670,23,36,29,27,3,59,1,38,28,10,1149,37257,3423832,415221144
2018,1,1000658,"000149","금하로24길","CS100009","커피·음료",19293744,2519,24,30,41,19,5,55,0,34,17,2,3237,15468.6666666667,2324871,1279250924
2018,1,1000834,"001511","청룡길","CS100009","커피·음료",176617867,31678,41,27,31,27,7,50,1,38,28,8,3538,82435,2760444,1769590004
2018,1,1000531,"000973","신목로2길","CS100001","한식음식점",39681640,2289,28,38,12,44,6,42,4,13,12,6,1281,37024,4562418,560612383
2018,1,1000054,"000232","녹사평대로46길","CS100001","한식음식점",440931429,14211,42,13,19,48,17,51,2,41,28,8,891,29910.3333333333,3499002,568651399
2018,1,1000836,"001662","행운1길","CS100001","한식음식점",691365483,34162,25,33,15,37,13,37,1,30,23,15,3075,113830,2515168,1204558853
2018,1,1000391,"000024","갈현로33길","CS100001","한식음식점",88434208,5487,19,31,15,43,10,43,1,11,21,4,3430,63121.3333333333,2930117,1669417308
2018,1,1000701,"000318","도림로63길","CS100001","한식음식점",63550566,1716,26,42,8,36,11,28,0,9,10,7,1088,36302,2345686,436737352
2018,1,1000501,"001206","월드컵로25길","CS100001","한식음식점",259092140,6084,29,34,12,31,18,35,0,12,25,12,2194,84150,2944769,1081762005
2018,1,1000229,"000447","동일로101길","CS100002","중식음식점",256008014,13860,36,22,13,35,18,46,3,25,31,4,3036,65265.3333333333,2467738,1136270596
2018,1,1000637,"000134","구로중앙로7길","CS100002","중식음식점",472719605,20176,33,21,19,45,13,39,0,14,32,5,1051,20319.6666666667,2561902,431648253
2018,1,1000047,"001570","퇴계로56길","CS100003","일식음식점",106369520,6191,17,37,12,33,16,45,3,35,27,3,959,31686.6666666667,2875852,310712594
2018,1,1000688,"000264","당산로31길","CS100003","일식음식점",215184447,4761,7,57,6,19,16,43,1,13,25,3,1037,40365.3333333333,3892033,372279487
2018,1,1000449,"001440","증가로23나길","CS100003","일식음식점",49800343,1682,32,14,10,58,18,48,2,28,22,2,763,7438,2741263,565965035
2018,1,1000650,"001123","오류로8길","CS100003","일식음식점",111795040,3001,23,18,10,48,22,40,1,20,26,2,2871,85302,2431560,1202898528
2018,1,1000816,"000957","신림로11길","CS100006","패스트푸드점",1536240,205,73,0,11,13,69,80,0,53,47,3,3457,64017.6666666667,2548268,1916451033
2018,1,1000421,"001265","응암로34길","CS100006","패스트푸드점",237694985,9042,45,12,15,57,16,50,3,14,23,2,3452,45927.3333333333,2615355,2156166031
2018,1,1000447,"001437","증가로10길","CS100006","패스트푸드점",626610040,79504,27,25,18,28,16,43,8,49,18,4,3499,101890.666666667,2621369,1407342958
2018,1,1000030,"000241","다산로33길","CS100006","패스트푸드점",41055008,1806,26,10,12,28,20,42,3,42,27,1,1868,72071.6666666667,2217377,720051988
